insert-name-here.bandcamp.com,A tiny opening in a blackened sky,9918778070602836,A tiny opening in a blackened sky ,https://insert-name-here.bandcamp.com/album/a-tiny-opening-in-a-blackened-sky
insert-name-here.bandcamp.com,A tiny opening in a blackened sky,9918778070602836,A tiny opening in a blackened sky ,https://insert-name-here.bandcamp.com/album/a-tiny-opening-in-a-blackened-sky
intoorbit.bandcamp.com,Caverns,9918589873002836,Caverns ,https://intoorbit.bandcamp.com/album/caverns
intoorbit.bandcamp.com,Caverns,9918589873002836,Caverns ,https://intoorbit.bandcamp.com/album/caverns
jwcomposer.bandcamp.com,Preface - Homage to a Risk,9918575859402836,Preface - homage to a risk ,https://jwcomposer.bandcamp.com/album/preface-homage-to-a-risk
jwcomposer.bandcamp.com,Preface - Homage to a Risk,9918575859402836,Preface - homage to a risk ,https://jwcomposer.bandcamp.com/album/preface-homage-to-a-risk
jeremymayall.bandcamp.com,Hybrid Philosophies,9918574449702836,Hybrid philosophies.,https://jeremymayall.bandcamp.com/album/hybrid-philosophies
jeremymayall.bandcamp.com,Hybrid Philosophies,9918574449702836,Hybrid philosophies.,https://jeremymayall.bandcamp.com/album/hybrid-philosophies
jeremymayall.bandcamp.com,Imaginary Communication,9918574449802836,Imaginary communication ,https://jeremymayall.bandcamp.com/album/imaginary-communication
jeremymayall.bandcamp.com,Imaginary Communication,9918574449802836,Imaginary communication ,https://jeremymayall.bandcamp.com/album/imaginary-communication
jeremymayall.bandcamp.com,The Song of Kauri,9918574451102836,The song of Kauri ,https://jeremymayall.bandcamp.com/album/the-song-of-kauri
jeremymayall.bandcamp.com,The Song of Kauri,9918574451102836,The song of Kauri ,https://jeremymayall.bandcamp.com/album/the-song-of-kauri
kakapo-music.bandcamp.com,The Prevoke EP,9918571864202836,The prevoke EP ,https://kakapo-music.bandcamp.com/album/the-prevoke-ep
kakapo-music.bandcamp.com,The Prevoke EP,9918571864202836,The prevoke EP ,https://kakapo-music.bandcamp.com/album/the-prevoke-ep
frankkeys.bandcamp.com,Daybreak EP,9918591451302836,Daybreak ,https://frankkeys.bandcamp.com/album/daybreak-ep
frankkeys.bandcamp.com,Daybreak EP,9918591451302836,Daybreak ,https://frankkeys.bandcamp.com/album/daybreak-ep
lostnzmusic.bandcamp.com,Lip Service,9918169157702836,Lip Service.,https://lostnzmusic.bandcamp.com/album/lip-service
looktowindward.bandcamp.com,Kepler,9918758572702836,Kepler ,https://looktowindward.bandcamp.com/album/kepler
looktowindward.bandcamp.com,Kepler,9918758572702836,Kepler ,https://looktowindward.bandcamp.com/album/kepler
hellisnowlove.bandcamp.com,Lost Rockets,9915352353502836,Lost Rockets,http://hellisnowlove.bandcamp.com/album/lost-rockets-ep
lumm.bandcamp.com,Collection1.15mar-30mar,9918576961902836,Collection1​.​15mar​-​30mar ,https://lumm.bandcamp.com/album/collection115mar-30mar
lumm.bandcamp.com,Collection1.15mar-30mar,9918576961902836,Collection1​.​15mar​-​30mar ,https://lumm.bandcamp.com/album/collection115mar-30mar
lumm.bandcamp.com,Collection2.01apr-15apr,9918576961202836,Collection2​.​01apr​-​15apr ,https://lumm.bandcamp.com/album/collection201apr-15apr
lumm.bandcamp.com,Collection2.01apr-15apr,9918576961202836,Collection2​.​01apr​-​15apr ,https://lumm.bandcamp.com/album/collection201apr-15apr
milouxmiloux.bandcamp.com,EP 1,9918575170502836,EP 1 ,https://milouxmiloux.bandcamp.com/album/ep-1
milouxmiloux.bandcamp.com,EP 1,9918575170502836,EP 1 ,https://milouxmiloux.bandcamp.com/album/ep-1
mosesnz.bandcamp.com,Moses II,9918579871002836,Moses II.,https://mosesnz.bandcamp.com/album/moses-ii-ep
mosesnz.bandcamp.com,Moses II,9918579871002836,Moses II.,https://mosesnz.bandcamp.com/album/moses-ii-ep
muttonjeff.bandcamp.com,Hearing Aid,9918580371002836,Hearing aid ,https://muttonjeff.bandcamp.com/album/hearing-aid
muttonjeff.bandcamp.com,Hearing Aid,9918580371002836,Hearing aid ,https://muttonjeff.bandcamp.com/album/hearing-aid
muttonjeff.bandcamp.com,Hearing Aid,9918580371402836,Hearing aid ,https://muttonjeff.bandcamp.com/album/hearing-aid-2016-mix
muttonjeff.bandcamp.com,Hearing Aid,9918580371402836,Hearing aid ,https://muttonjeff.bandcamp.com/album/hearing-aid-2016-mix
louissmith.bandcamp.com,Hostilities,9918576571102836,Hostilities ,https://louissmith.bandcamp.com/album/hostilities
louissmith.bandcamp.com,Hostilities,9918576571102836,Hostilities ,https://louissmith.bandcamp.com/album/hostilities
jeremymayall.bandcamp.com,It will remember itself,9918574448902836,It will remember itself ,https://jeremymayall.bandcamp.com/album/it-will-remember-itself
jeremymayall.bandcamp.com,It will remember itself,9918574448902836,It will remember itself ,https://jeremymayall.bandcamp.com/album/it-will-remember-itself
nervousjerk.bandcamp.com,Weakdays,9918580369402836,Weak days ,https://nervousjerk.bandcamp.com/album/weakdays
nervousjerk.bandcamp.com,Weakdays,9918580369402836,Weak days ,https://nervousjerk.bandcamp.com/album/weakdays
open-band.bandcamp.com,Breathtaking Views,9918581459902836,Breathtaking views ,https://open-band.bandcamp.com/album/breathtaking-views
open-band.bandcamp.com,Breathtaking Views,9918581459902836,Breathtaking views ,https://open-band.bandcamp.com/album/breathtaking-views
pacificdeep.bandcamp.com,Pioneers,9918581459302836,Pioneers ,https://pacificdeep.bandcamp.com/album/pioneers
pacificdeep.bandcamp.com,Pioneers,9918581459302836,Pioneers ,https://pacificdeep.bandcamp.com/album/pioneers
paperghost.bandcamp.com,Signal Fingers,9918578668702836,Signal fingers ,https://paperghost.bandcamp.com/album/signal-fingers
paperghost.bandcamp.com,Signal Fingers,9918578668702836,Signal fingers ,https://paperghost.bandcamp.com/album/signal-fingers
paulseccombe.bandcamp.com,Intelligent chaos 1.0,9918582764002836,Intelligent chaos 1.0 ,https://paulseccombe.bandcamp.com/album/intelligent-chaos-10
paulseccombe.bandcamp.com,Intelligent chaos 1.0,9918582764002836,Intelligent chaos 1.0 ,https://paulseccombe.bandcamp.com/album/intelligent-chaos-10
paulwilliams12.bandcamp.com,Jungle River Adventure,9918582763602836,Jungle river adventure ,https://paulwilliams12.bandcamp.com/album/jungle-river-adventure
paulwilliams12.bandcamp.com,Jungle River Adventure,9918582763602836,Jungle river adventure ,https://paulwilliams12.bandcamp.com/album/jungle-river-adventure
polaroidsofpolarbears.bandcamp.com,Polaroids of Polarbears,9918198959102836,Polaroids of Polarbears.,https://polaroidsofpolarbears.bandcamp.com/album/polaroids-of-polarbears
pooryoupoorme.bandcamp.com,Poor You Poor Me,9918582762002836,Poor You Poor Me.,https://pooryoupoorme.bandcamp.com/album/poor-you-poor-me
pooryoupoorme.bandcamp.com,Poor You Poor Me,9918582762002836,Poor You Poor Me.,https://pooryoupoorme.bandcamp.com/album/poor-you-poor-me
psychemergency.bandcamp.com,Psych Emergency - EP,9918583267602836,Psych Emergency EP ,https://psychemergency.bandcamp.com/album/psych-emergency-ep
