Album,Artist,Year,URL,Track number,Track name,Filename,ID,Folder,Correct folder
From Me To You: A Christmas Celebration,Rory Dunne & Nathan Cooper,2008,http://christmasjoy.bandcamp.com,1,Welcome,Rory Dunne & Nathan Cooper - From Me To You- A Christmas Celebration - 01 Welcome.flac,3070,Rory Dunne & Nathan Cooper - From Me To You- A Christmas Celebration,Rory Dunne & Nathan Cooper - From Me To You- A Christmas Celebration
FOG EP,RQ,2015,http://rqnz.bandcamp.com,1,YABAI,RQ - FOG EP - 01 YABAI.flac,3078,RQ - FOG EP,RQ - FOG EP
4 more for 15 e.p.,Ruby Fusion,2015,http://rubyfusion.bandcamp.com,1,Stranded,Ruby Fusion - 4 more for 15 e_p_ - 01 Stranded.flac,3082,Ruby Fusion - 4 more for 15 e_p,Ruby Fusion - 4 more for 15 e_p
keep on (keeping on) e.p.,Ruby Fusion,2015,http://rubyfusion.bandcamp.com,1,Koko,Ruby Fusion - keep on (keeping on) e_p_ - 01 Koko.flac,3086,Ruby Fusion - keep on (keeping on) e_p,Ruby Fusion - keep on (keeping on) e_p
ectoplasmic,Rupert Hunter,2012,http://ruperthunter.bandcamp.com,1,ectoplasmic,Rupert Hunter - ectoplasmic - 01 ectoplasmic.flac,3090,Rupert Hunter - ectoplasmic,Rupert Hunter - ectoplasmic
Not Swollen/Shreds,Rupert Hunter,2013,http://ruperthunter.bandcamp.com,1,Not Swollen,Rupert Hunter - Not Swollen-Shreds - 01 Not Swollen.flac,3094,Rupert Hunter - Not Swollen-Shreds,Rupert Hunter - Not Swollen-Shreds
Receivership/Lonesome Town,Rupert Hunter,2013,http://ruperthunter.bandcamp.com,1,Receivership (Plagal Grind),Rupert Hunter - Receivership-Lonesome Town - 01 Receivership (Plagal Grind).flac,3096,Rupert Hunter - Receivership-Lonesome Town,Rupert Hunter - Receivership-Lonesome Town
Body Continues,Rupert Hunter & Alison Hobbes,2015,http://ruperthunter.bandcamp.com,1,I,Rupert Hunter & Alison Hobbes - Body Continues - 01 I.flac,3098,Rupert Hunter-Alison Hobbes-Little Skull - Body Continues,Rupert Hunter-Alison Hobbes-Little Skull - Body Continues
Full Step Down E.P,Ryan Fisherman,2013,http://ryanfisherman.bandcamp.com,1,The Cat Came Back,Ryan Fisherman - Full Step Down E_P - 01 The Cat Came Back.flac,3100,Ryan Fisherman - Full Step Down E_P,Ryan Fisherman - Full Step Down E_P
The Nest Egg E.P,Ryan Fisherman,2015,http://ryanfisherman.bandcamp.com,1,Running out of Room,Ryan Fisherman - The Nest Egg E_P - 01 Running out of Room.flac,3104,Ryan Fisherman - The Nest Egg E_P,Ryan Fisherman - The Nest Egg E_P
Yellow tape,S.F.T,2015,http://renaissancemusicnz.bandcamp.com,1,Yellow tape,S_F_T - Yellow tape - 01 Yellow tape.flac,3109,S_F_T - Yellow tape,S_F_T - Yellow tape
Scarce Tracks,Salad Boys,2015,http://saladboys.bandcamp.com,1,Eighteen Forty Four,Salad Boys - Scarce Tracks - 01 Eighteen Forty Four.flac,3110,Salad Boys - Scarce Tracks,Salad Boys - Scarce Tracks
Grey,Sam Allan Kay,2015,http://samallankay.bandcamp.com,1,Intro,Sam Allan Kay - Grey - 01 Intro.flac,3114,Sam Allan Kay - Grey,Sam Allan Kay - Grey
The Habit EP,Sam Slaughter,2014,http://evolp.bandcamp.com,1,The Habit (prod. SmokeyGotBeatz),Sam Slaughter - The Habit EP - 01 The Habit (prod_ SmokeyGotBeatz).flac,3120,Sam Slaughter - The Habit EP,Sam Slaughter - The Habit EP
SASHA ACOUSTIC,SASHA FTW PERRY,2016,http://perrymusic.bandcamp.com,1,COME HOME,SASHA FTW PERRY - SASHA ACOUSTIC - 01 COME HOME.flac,3125,SASHA FTW PERRY - SASHA ACOUSTIC,SASHA FTW PERRY - SASHA ACOUSTIC
THE BEST OF SASHA,SASHA FTW PERRY,2016,http://perrymusic.bandcamp.com,1,BLIND BIRD (FREE BIRD),SASHA FTW PERRY - THE BEST OF SASHA - 01 BLIND BIRD (FREE BIRD).flac,3141,SASHA FTW PERRY - THE BEST OF SASHA,SASHA FTW PERRY - THE BEST OF SASHA
Media Whore,Scarlett Lashes,2014,http://scarlettlashes.bandcamp.com,1,Stalk you Good,Scarlett Lashes - Media Whore - 01 Stalk you Good.flac,3166,Scarlett Lashes - Media Whore,Scarlett Lashes - Media Whore
Archive (2012-2014),Seeami,2015,http://seeami.bandcamp.com,1,Introduction,Seeami - Archive (2012-2014) - 01 Introduction.flac,3171,Seeami - Archive (2012-2014),Seeami - Archive (2012-2014)
Fully Charged,Seth Africa,2014,http://cheersbud.bandcamp.com,1,Charging,Seth Africa - Fully Charged - 01 Charging.flac,3184,Seth Africa - Fully Charged,Seth Africa - Fully Charged
But We Love Our Brothers and Sisters,Seth Frightening,2015,http://sethfrightening.bandcamp.com,1,Bury,Seth Frightening - But We Love Our Brothers and Sisters - 01 Bury.flac,3191,Seth Frightening - But We Love Our Brothers and Sisters,Seth Frightening - But We Love Our Brothers and Sisters
Leonard In Africa,Leonard Charles,2014,http://shessorad.bandcamp.com,1,5beats/4bits,Leonard Charles - Leonard In Africa - 01 5beats-4bits.flac,3204,She's So Rad - Leonard In Africa,She's So Rad - Leonard In Africa
Double Vision Version / Motel,Shocking Pinks,2015,http://shockingpinks.bandcamp.com,1,Double Vision Version,Shocking Pinks - Double Vision Version - Motel - 01 Double Vision Version.flac,3206,Shocking Pinks - Double Vision Version - Motel,Shocking Pinks - Double Vision Version - Motel
Us Against the City EP,Shocking Pinks,2015,http://shockingpinks.bandcamp.com,1,Us Against the City,Shocking Pinks - Us Against the City EP - 01 Us Against the City.flac,3208,Shocking Pinks - Us Against the City EP,Shocking Pinks - Us Against the City EP
New Low Humans EP,Shoutin' Preachin',2014,http://shoutinpreachin.bandcamp.com,1,Go For Broke,Shoutin' Preachin' - New Low Humans EP - 01 Go For Broke.flac,3212,Shoutin' Preachin' - New Low Humans EP,Shoutin' Preachin' - New Low Humans EP
Pyramid Tabs,Sign of the Hag,2014,http://signofthehag.bandcamp.com,1,Das Controller,Sign of the Hag - Pyramid Tabs - 01 Das Controller.flac,3217,Sign of the Hag - Pyramid Tabs,Sign of the Hag - Pyramid Tabs
Duds [EP],sister something,2015,http://sistersomething.bandcamp.com,1,Time Machine,sister something - Duds -EP- - 01 Time Machine.flac,3224,sister something - Duds -EP,sister something - Duds -EP
The Tongue Davids [EP],sister something,2015,http://sistersomething.bandcamp.com,1,Intro,sister something - The Tongue Davids -EP- - 01 Intro.flac,3229,sister something - The Tongue Davids -EP,sister something - The Tongue Davids -EP
Landfall,Sky Village,2013,http://skyvillage.bandcamp.com,1,Awake,Sky Village - Landfall - 01 Awake.flac,3234,Sky Village - Landfall,Sky Village - Landfall
Bloodspray for Politics - Blood and night ep,Slave Collective,2013,http://slavecollective.bandcamp.com,1,Bloodspray for Politics - Blood and Night,Slave Collective - Bloodspray for Politics - Blood and night ep - 01 Bloodspray for Politics - Blood and Night.flac,3240,Slave Collective - Bloodspray for Politics - Blood and night ep,Slave Collective - Bloodspray for Politics - Blood and night ep
Bloodspray For Politics - Final Recording,Slave Collective,2014,Visit https://slavecollective.bandcamp.com,1,Bloodspray for Politics - Darkness,Slave Collective - Bloodspray For Politics - Final Recording - 01 Bloodspray for Politics - Darkness.flac,3244,Slave Collective - Bloodspray For Politics - Final Recording,Slave Collective - Bloodspray For Politics - Final Recording
Hellborne - Hellborne,Slave Collective,2014,http://slavecollective.bandcamp.com,1,Hellborne - Swamp King,Slave Collective - Hellborne - Hellborne - 01 Hellborne - Swamp King.flac,3247,Slave Collective - Hellborne - Hellborne,Slave Collective - Hellborne - Hellborne
Master Cheese Maker,Slave Collective,2000,http://slavecollective.bandcamp.com,1,Global Contortions,Slave Collective - Master Cheese Maker - 01 Global Contortions.flac,3253,Slave Collective - Master Cheese Maker,Slave Collective - Master Cheese Maker
Neckstretchers,Slave Collective,2016,Visit https://slavecollective.bandcamp.com,1,Stranglehold from Hell,Slave Collective - Neckstretchers - 01 Stranglehold from Hell.flac,3267,Slave Collective - Neckstretchers,Slave Collective - Neckstretchers
Scourge of Tussin Live to Air 2004,Slave Collective,2004,http://slavecollective.bandcamp.com,1,Satan is Lorde,Slave Collective - Scourge of Tussin Live to Air 2004 - 01 Satan is Lorde.flac,3272,Slave Collective - Scourge of Tussin Live to Air 2004,Slave Collective - Scourge of Tussin Live to Air 2004
Turbostill 7 Inch Vinyl,Slave Collective,2012,http://slavecollective.bandcamp.com,1,Turbostill - Motherfucker like you,Slave Collective - Turbostill 7 Inch Vinyl - 01 Turbostill - Motherfucker like you.flac,3277,Slave Collective - Turbostill 7 Inch Vinyl,Slave Collective - Turbostill 7 Inch Vinyl
Condemned,Sleeping Corpse,2015,http://sleepingcorpse.bandcamp.com,1,Condemnation,Sleeping Corpse - Condemned - 01 Condemnation.flac,3284,Sleeping Corpse - Condemned,Sleeping Corpse - Condemned
Death,Sleeping Corpse,2015,http://sleepingcorpse.bandcamp.com,1,Sanctuarium,Sleeping Corpse - Death - 01 Sanctuarium.flac,3290,Sleeping Corpse - Death,Sleeping Corpse - Death
Drawn Parallel,Sleeping Corpse,2014,http://sleepingcorpse.bandcamp.com,1,Apart From,Sleeping Corpse - Drawn Parallel - 01 Apart From.flac,3292,Sleeping Corpse - Drawn Parallel,Sleeping Corpse - Drawn Parallel
Veils Of Perception,Sleeping Corpse,2015,http://sleepingcorpse.bandcamp.com,1,Gallivanting The Galleries Of Perception,Sleeping Corpse - Veils Of Perception - 01 Gallivanting The Galleries Of Perception.flac,3310,Sleeping Corpse - Foglord - Veils Of Perception,Sleeping Corpse - Foglord - Veils Of Perception
Infinity Drowning / Dusty Existence,Forgotten Times,2015,http://sleepingcorpse.bandcamp.com,1,Infinity Drowning,Forgotten Times - Infinity Drowning - Dusty Existence - 01 Infinity Drowning.flac,3311,Sleeping Corpse - Forgotten Times - Infinity Drowning - Dusty Existence,Sleeping Corpse - Forgotten Times - Infinity Drowning - Dusty Existence
Murky Visions [Split with Hiemal],Sleeping Corpse,2014,http://sleepingcorpse.bandcamp.com,1,From A Misty Shadow,Sleeping Corpse - Murky Visions -Split with Hiemal- - 01 From A Misty Shadow.flac,3317,Sleeping Corpse - Murky Visions -Split with Hiemal,Sleeping Corpse - Murky Visions -Split with Hiemal
Night Movement [Split with Wintermute],Sleeping Corpse,2014,http://sleepingcorpse.bandcamp.com,1,Story Of The Rock And The Water,Sleeping Corpse - Night Movement -Split with Wintermute- - 01 Story Of The Rock And The Water.flac,3322,Sleeping Corpse - Night Movement -Split with Wintermute,Sleeping Corpse - Night Movement -Split with Wintermute
Nightmare Ritual,Sleeping Corpse,2014,http://sleepingcorpse.bandcamp.com,1,Every Waking Ritual,Sleeping Corpse - Nightmare Ritual - 01 Every Waking Ritual.flac,3325,Sleeping Corpse - Nightmare Ritual,Sleeping Corpse - Nightmare Ritual
War [Split],Ranseur,2015,http://sleepingcorpse.bandcamp.com,1,Thousand Years War,Ranseur - War -Split- - 01 Thousand Years War.flac,2895,Sleeping Corpse - Ranseur - War -Split,Sleeping Corpse - Ranseur - War -Split
Syndrome,Sleeping Corpse,2016,http://sleepingcorpse.bandcamp.com,1,Altar Of The Wandering Cadaver,Sleeping Corpse - Syndrome - 01 Altar Of The Wandering Cadaver.flac,3330,Sleeping Corpse - Syndrome,Sleeping Corpse - Syndrome
The Haunted,Sleeping Corpse,2015,http://sleepingcorpse.bandcamp.com,1,Turning Toward Night,Sleeping Corpse - The Haunted - 01 Turning Toward Night.flac,3345,Sleeping Corpse - The Haunted,Sleeping Corpse - The Haunted
Timely Disintegration,Sleeping Corpse,2014,http://sleepingcorpse.bandcamp.com,1,Incurable,Sleeping Corpse - Timely Disintegration - 01 Incurable.flac,3354,Sleeping Corpse - Timely Disintegration,Sleeping Corpse - Timely Disintegration
Divination & Dusk [Split],Sleeping Corpse,2016,http://sleepingcorpse.bandcamp.com,1,Divination Pit,Sleeping Corpse - Divination & Dusk -Split- - 01 Divination Pit.flac,3363,Sleeping Corpse & Forgotten Times - Divination & Dusk -Split,Sleeping Corpse & Forgotten Times - Divination & Dusk -Split
Sunk Rock,Slob,2016,http://taurangamusicsux.bandcamp.com,1,Str8 Edge,Slob - Sunk Rock - 01 Str8 Edge.flac,3364,Slob - Sunk Rock,Slob - Sunk Rock
Practice,Slower Motion,2014,http://slowermotion.bandcamp.com,1,Practice,Slower Motion - Practice - 01 Practice.flac,3370,Slower Motion - Practice,Slower Motion - Practice
WINTER,So Laid Back Country China,2014,http://solaidbackcountrychina.bandcamp.com,1,SISTERS,So Laid Back Country China - WINTER - 01 SISTERS.flac,3382,So Laid Back Country China - WINTER,So Laid Back Country China - WINTER
Winter 2012,So Laid Back Country China,2012,http://solaidbackcountrychina.bandcamp.com,1,Weigh,So Laid Back Country China - Winter 2012 - 01 Weigh.flac,3388,So Laid Back Country China - Winter 2012,So Laid Back Country China - Winter 2012
Das Dreamland,SODA BOYZ,2015,http://sodaboyz.bandcamp.com,1,Das Dreamland,SODA BOYZ - Das Dreamland - 01 Das Dreamland.flac,3391,SODA BOYZ - Das Dreamland,SODA BOYZ - Das Dreamland
Slayer Shirt,SODA BOYZ,2015,http://sodaboyz.bandcamp.com,1,Slayer Shirt,SODA BOYZ - Slayer Shirt - 01 Slayer Shirt.flac,3393,SODA BOYZ - Slayer Shirt,SODA BOYZ - Slayer Shirt
Magnetics,Sola Rosa,2015,http://solarosa-agogo.bandcamp.com,1,Inspired feat. Noah Slee,Sola Rosa - Magnetics - 01 Inspired feat_ Noah Slee.flac,3395,Sola Rosa - Magnetics,Sola Rosa - Magnetics
You Are Surrounded,Sora Shima,2014,http://sorashima.bandcamp.com,1,Gang Violins,Sora Shima - You Are Surrounded - 01 Gang Violins.flac,3406,Sora Shima - You Are Surrounded,Sora Shima - You Are Surrounded
Confusement,Soulty Sultans,2014,http://soultysultans.bandcamp.com,1,Confusement,Soulty Sultans - Confusement - 01 Confusement.flac,3415,Soulty Sultans - Confusement,Soulty Sultans - Confusement
Knuckles | Venom,Sparkle Kitty,2014,,1,Knuckles,Sparkle Kitty - Knuckles - Venom - 01 Knuckles.flac,3429,Sparkle Kitty - Knuckles - Venom,Sparkle Kitty - Knuckles - Venom
What's that sound?,Spiral,2014,http://spiralofficial.bandcamp.com,1,The Fuel,Spiral - What's that sound- - 01 The Fuel.flac,3431,Spiral - What's that sound,Spiral - What's that sound
Death Death Death,Spiteful Urinator,2013,http://spitefulurinator.bandcamp.com,1,Corpse Wrapped In Prayer Mat,Spiteful Urinator - Death Death Death - 01 Corpse Wrapped In Prayer Mat.flac,3442,Spiteful Urinator - Death Death Death,Spiteful Urinator - Death Death Death
Death For Fun & Profit,Spiteful Urinator,2013,http://spitefulurinator.bandcamp.com,1,Shit Death,Spiteful Urinator - Death For Fun & Profit - 01 Shit Death.flac,3449,Spiteful Urinator - Death For Fun & Profit,Spiteful Urinator - Death For Fun & Profit
Spiteful Urinator / Trepanation - Split,Spiteful Urinator,2015,http://spitefulurinator.bandcamp.com,1,Sounds Christian,Spiteful Urinator - Spiteful Urinator - Trepanation - Split - 01 Sounds Christian.flac,3457,Spiteful Urinator - Spiteful Urinator - Trepanation - Split,Spiteful Urinator - Spiteful Urinator - Trepanation - Split
Total Onslaught,Spiteful Urinator,2015,http://spitefulurinator.bandcamp.com,1,Stink Of Wank,Spiteful Urinator - Total Onslaught - 01 Stink Of Wank.flac,3464,Spiteful Urinator - Total Onslaught,Spiteful Urinator - Total Onslaught
Work Crimes,Spiteful Urinator,2014,http://spitefulurinator.bandcamp.com,1,Work Crimes,Spiteful Urinator - Work Crimes - 01 Work Crimes.flac,3482,Spiteful Urinator - Work Crimes,Spiteful Urinator - Work Crimes
2000 & STILL 2 SICK VOL.1,Spreading the Sickness,2015,http://spreadingthesickness.bandcamp.com,1,Intro,Spreading the Sickness - 2000 & STILL 2 SICK VOL_1 - 01 Intro.flac,3493,Spreading the Sickness - 2000 & STILL 2 SICK VOL_1,Spreading the Sickness - 2000 & STILL 2 SICK VOL_1
Wuav̩ Season EP,Spycc,2015,http://spyccmusic.bandcamp.com,1,YKM,Spycc - Wuav Season EP - 01 YKM.flac,3509,Spycc - Wuav Season EP,Spycc - Wuav Season EP
Better Company EP,Stacpoole,2014,http://davidbatchelor.bandcamp.com,1,Catholic Knees,Stacpoole - Better Company EP - 01 Catholic Knees.flac,3515,Stacpoole - Better Company EP,Stacpoole - Better Company EP
EP,Stacpoole,2013,http://davidbatchelor.bandcamp.com,1,Alobor,Stacpoole - EP - 01 Alobor.flac,3517,Stacpoole - EP,Stacpoole - EP
S P A C E S,Stef T,2014,http://stef-t.bandcamp.com,1,Distraction,Stef T - S P A C E S - 01 Distraction.flac,3521,Stef T - S P A C E S,Stef T - S P A C E S
Demo Harvest (home recordings),Strange Harvest,2015,http://strangeharvest.bandcamp.com,1,Black Window [2012],Strange Harvest - Demo Harvest (home recordings) - 01 Black Window -2012-.flac,3525,Strange Harvest - Demo Harvest (home recordings),Strange Harvest - Demo Harvest (home recordings)
Extended Play,Strangely Arousing,2014,http://strangelyarousing.bandcamp.com,1,Live to Live,Strangely Arousing - Extended Play - 01 Live to Live.flac,3532,Strangely Arousing - Extended Play,Strangely Arousing - Extended Play
Nocturne,Strayhound,2012,http://strayhound.bandcamp.com,1,Living With These Vivid Dreams,Strayhound - Nocturne - 01 Living With These Vivid Dreams.flac,3538,Strayhound - Nocturne,Strayhound - Nocturne
Wolves at the Door,Streetlight Riot,2015,http://streetlightriot.bandcamp.com,1,Jokes and Jealousy,Streetlight Riot - Wolves at the Door - 01 Jokes and Jealousy.flac,3548,Streetlight Riot - Wolves at the Door,Streetlight Riot - Wolves at the Door
Atrophy - 2014,Strife Machine,2014,http://strifemachine.bandcamp.com,1,Atypical SSRIs and Antipsychotics,Strife Machine - Atrophy - 2014 - 01 Atypical SSRIs and Antipsychotics.flac,3553,Strife Machine - Atrophy - 2014,Strife Machine - Atrophy - 2014
Directive of Suffering,Strife Machine,2015,http://strifemachine.bandcamp.com,1,Moss,Strife Machine - Directive of Suffering - 01 Moss.flac,3562,Strife Machine - Directive of Suffering,Strife Machine - Directive of Suffering
Esotericism,Strife Machine,2015,http://strifemachine.bandcamp.com,1,World Orphan,Strife Machine - Esotericism - 01 World Orphan.flac,3570,Strife Machine - Esotericism,Strife Machine - Esotericism
Forgotten,Strife Machine,2016,http://strifemachine.bandcamp.com,1,Invisible,Strife Machine - Forgotten - 01 Invisible.flac,3573,Strife Machine - Forgotten,Strife Machine - Forgotten
June 2015,Strife Machine,2015,http://strifemachine.bandcamp.com,1,"Despising the Jaws, Under the Bone","Strife Machine - June 2015 - 01 Despising the Jaws, Under the Bone.flac",3577,Strife Machine - June 2015,Strife Machine - June 2015
No Wolves,Strife Machine,2015,http://strifemachine.bandcamp.com,1,Nackskott,Strife Machine - No Wolves - 01 Nackskott.flac,3580,Strife Machine - No Wolves,Strife Machine - No Wolves
Strife Machine / Rotten Light,Rotten Light,2015,http://strifemachine.bandcamp.com,1,Deteriorating Shall Prevail,Rotten Light - Strife Machine - Rotten Light - 01 Deteriorating Shall Prevail.flac,3075,Strife Machine + Rotten Light - Strife Machine - Rotten Light,Strife Machine + Rotten Light - Strife Machine - Rotten Light
Je Suis Charlie,Stu Kubviak,2015,http://massconflict.bandcamp.com,1,Fatal Delusion,Stu Kubviak - Je Suis Charlie - 01 Fatal Delusion.flac,3589,Stu Kubviak - Je Suis Charlie,Stu Kubviak - Je Suis Charlie
Big Big Trawling,suckafish,2010,http://suckafish.bandcamp.com,1,Generation Binge,suckafish - Big Big Trawling - 01 Generation Binge.flac,3596,suckafish - Big Big Trawling,suckafish - Big Big Trawling
Fishits & Giggles,suckafish,2012,http://suckafish.bandcamp.com,1,Intro,suckafish - Fishits & Giggles - 01 Intro.flac,3610,suckafish - Fishits & Giggles,suckafish - Fishits & Giggles
Cast out,Sun Through Eyelids,2015,http://sunthrougheyelids.bandcamp.com,1,A Means to an End,Sun Through Eyelids - Cast out - 01 A Means to an End.flac,3624,Sun Through Eyelids - Cast out,Sun Through Eyelids - Cast out
Dead Underwater City,Sun Through Eyelids,2016,http://sunthrougheyelids.bandcamp.com,1,Tide Come Take Me,Sun Through Eyelids - Dead Underwater City - 01 Tide Come Take Me.flac,3627,Sun Through Eyelids - Dead Underwater City,Sun Through Eyelids - Dead Underwater City
Hidden Landscapes,Sun Through Eyelids,2016,http://sunthrougheyelids.bandcamp.com,1,Earth Cradled In a Shell,Sun Through Eyelids - Hidden Landscapes - 01 Earth Cradled In a Shell.flac,3634,Sun Through Eyelids - Hidden Landscapes,Sun Through Eyelids - Hidden Landscapes
"Out of Body, Out of Mind",Sun Through Eyelids,2016,http://sunthrougheyelids.bandcamp.com,1,Incoming Signal,"Sun Through Eyelids - Out of Body, Out of Mind - 01 Incoming Signal.flac",3641,Sun Through Eyelids - Out of Body- Out of Mind,Sun Through Eyelids - Out of Body- Out of Mind
The Forlorn Waves,Sun Through Eyelids,2015,http://sunthrougheyelids.bandcamp.com,1,Infinite Chambers,Sun Through Eyelids - The Forlorn Waves - 01 Infinite Chambers.flac,3656,Sun Through Eyelids - The Forlorn Waves,Sun Through Eyelids - The Forlorn Waves
Dank Mammoth,Super Narco Man,2016,http://taurangamusicsux.bandcamp.com,1,Near Kill Experience,Super Narco Man - Dank Mammoth - 01 Near Kill Experience.flac,3660,Super Narco Man - Dank Mammoth,Super Narco Man - Dank Mammoth
Super Narco Man,Super Narco Man,2014,http://taurangamusicsux.bandcamp.com,1,Cheeky Riff,Super Narco Man - Super Narco Man - 01 Cheeky Riff.flac,3667,Super Narco Man - Super Narco Man,Super Narco Man - Super Narco Man
Dreams Are Real,Surf Friends,2016,http://edilsrecordings.bandcamp.com,1,Holiday,Surf Friends - Dreams Are Real - 01 Holiday.flac,3678,Surf Friends - Dreams Are Real (pre-order),Surf Friends - Dreams Are Real (pre-order)
Four Seeds,Swallow Path,2014,http://swallowpath.bandcamp.com,1,the thicket,Swallow Path - Four Seeds - 01 the thicket.flac,3679,Swallow Path - Four Seeds,Swallow Path - Four Seeds
hillside sessions,Swallow Path,2016,http://swallowpath.bandcamp.com,1,rada da,Swallow Path - hillside sessions - 01 rada da.flac,3683,Swallow Path - hillside sessions,Swallow Path - hillside sessions
patient,Swallow Path,2015,http://swallowpath.bandcamp.com,1,the moment,Swallow Path - patient - 01 the moment.flac,3685,Swallow Path - patient,Swallow Path - patient
"Why not, if it is true",Swallow Path,2015,http://swallowpath.bandcamp.com,1,dilate,"Swallow Path - Why not, if it is true - 01 dilate.flac",3690,Swallow Path - Why not- if it is true,Swallow Path - Why not- if it is true
In Brush Park,T54,2013,http://cheersbud.bandcamp.com,1,Nails Painted,T54 - In Brush Park - 01 Nails Painted.flac,3696,T54 - In Brush Park,T54 - In Brush Park
FI$$H,TAB,2015,http://tabnz.bandcamp.com,1,FI$$H,TAB - FI$$H - 01 FI$$H.flac,3712,TAB - FI$$H,TAB - FI$$H
Unforgettable,Tammy & The Talent,2014,http://thetalent.bandcamp.com,1,Pokarekare,Tammy & The Talent - Unforgettable - 01 Pokarekare.flac,3714,Tammy & The Talent - Unforgettable,Tammy & The Talent - Unforgettable
A. Cushion Plant,Team Cat Food,2015,http://teamcatfood.bandcamp.com,1,Jarreau,Team Cat Food - A_ Cushion Plant - 01 Jarreau.flac,3721,Team Cat Food - A_ Cushion Plant,Team Cat Food - A_ Cushion Plant
B. Gold In Quartz,Team Cat Food,2015,http://teamcatfood.bandcamp.com,1,Boulder,Team Cat Food - B_ Gold In Quartz - 01 Boulder.flac,3727,Team Cat Food - B_ Gold In Quartz,Team Cat Food - B_ Gold In Quartz
Bag Of Tracks,Team Cat Food,2014,http://teamcatfood.bandcamp.com,1,Castle,Team Cat Food - Bag Of Tracks - 01 Castle.flac,3733,Team Cat Food - Bag Of Tracks,Team Cat Food - Bag Of Tracks
Never Again EP,Team Dynamite,2015,http://teamdynamite.bandcamp.com,1,Haterz Down,Team Dynamite - Never Again EP - 01 Haterz Down.flac,3739,Team Dynamite - Never Again EP,Team Dynamite - Never Again EP
The Arrival,Teenage Cavemen From Outerspace,2014,http://tcmfos.bandcamp.com,1,Who Do You Think You Are?{INTRO},Teenage Cavemen From Outerspace - The Arrival - 01 Who Do You Think You Are-{INTRO}.flac,3746,Teenage Cavemen From Outerspace - The Arrival,Teenage Cavemen From Outerspace - The Arrival
'OBEY',TEENAGE CAVEMEN FROM OUTERSPACE {TCMFOS},2016,http://tcmfos.bandcamp.com,1,I'm Not Crazy {UPBEAT MIX},TEENAGE CAVEMEN FROM OUTERSPACE {TCMFOS} - 'OBEY' - 01 I'm Not Crazy {UPBEAT MIX}.flac,3753,TEENAGE CAVEMEN FROM OUTERSPACE {TCMFOS} - 'OBEY',TEENAGE CAVEMEN FROM OUTERSPACE {TCMFOS} - 'OBEY'
Alienated EP {instrumentals},TEENAGE CAVEMEN FROM OUTERSPACE!,2015,http://tcmfos.bandcamp.com,1,Otherside {Instrumental},TEENAGE CAVEMEN FROM OUTERSPACE! - Alienated EP {instrumentals} - 01 Otherside {Instrumental}.flac,3758,TEENAGE CAVEMEN FROM OUTERSPACE! - Alienated EP {instrumentals},TEENAGE CAVEMEN FROM OUTERSPACE! - Alienated EP {instrumentals}
Wisdom Teeth EP,Tennis Champ,2015,http://tennischamp.bandcamp.com,1,Shoelaces,Tennis Champ - Wisdom Teeth EP - 01 Shoelaces.flac,3763,Tennis Champ - Wisdom Teeth EP,Tennis Champ - Wisdom Teeth EP
Tramadol Knights EP,The Admiral,2015,http://theadmiral666.bandcamp.com,1,Stronger Than Dirt,The Admiral - Tramadol Knights EP - 01 Stronger Than Dirt.flac,3769,The Admiral - Tramadol Knights EP,The Admiral - Tramadol Knights EP
Semi-Permanent,The Baby Giant,2015,http://semi-permanent.bandcamp.com,1,Old Sun,The Baby Giant - Semi-Permanent - 01 Old Sun.flac,3774,The Baby Giant - Semi-Permanent,The Baby Giant - Semi-Permanent
Tough Bikkies,The Biscuits,2014,http://thebiscuits.bandcamp.com,1,Manipulative,The Biscuits - Tough Bikkies - 01 Manipulative.flac,3777,The Biscuits - Tough Bikkies,The Biscuits - Tough Bikkies
LIP SERVICE EP,The Blue Bloods,2015,http://thebluebloods.bandcamp.com,1,CRAZY FUCKER,The Blue Bloods - LIP SERVICE EP - 01 CRAZY FUCKER.flac,3781,The Blue Bloods - LIP SERVICE EP,The Blue Bloods - LIP SERVICE EP
PHONE SEX,The Blue Bloods,2015,http://thebluebloods.bandcamp.com,1,DISCO PUNK DADDY,The Blue Bloods - PHONE SEX - 01 DISCO PUNK DADDY.flac,3784,The Blue Bloods - PHONE SEX,The Blue Bloods - PHONE SEX
Renaissance EP,The Blue Temple Lions,2012,http://paulseccombe.bandcamp.com,1,Crocodile tears,The Blue Temple Lions - Renaissance EP - 01 Crocodile tears.flac,3788,The Blue Temple Lions - Renaissance EP,The Blue Temple Lions - Renaissance EP
Second act,The Blue Temple Lions,2013,http://paulseccombe.bandcamp.com,1,Lordy lordy,The Blue Temple Lions - Second act - 01 Lordy lordy.flac,3792,The Blue Temple Lions - Second act,The Blue Temple Lions - Second act
Young Napoleon,The Canals,2014,http://thecanalss.bandcamp.com,1,I'm a hypocrite (and you're naive),The Canals - Young Napoleon - 01 I'm a hypocrite (and you're naive).flac,3797,The Canals - Young Napoleon,The Canals - Young Napoleon
Juvenile Delinquent Single,The Cavemen,2014,http://thecavemennz.bandcamp.com,1,Juvenile Delinquent,The Cavemen - Juvenile Delinquent Single - 01 Juvenile Delinquent.flac,3801,The Cavemen - Juvenile Delinquent Single,The Cavemen - Juvenile Delinquent Single
