Album,Artist,Year,URL,Track number,Track name,Filename,ID,Folder,Correct folder
Silk Island,Matthias Jordan,2015,http://matthiasjordan.bandcamp.com,1,Fall Into The Blue,Matthias Jordan - Silk Island - 01 Fall Into The Blue.flac,2408,Matthias Jordan - Silk Island,Matthias Jordan - Silk Island
At Peace In Pieces,Maybe Rave,2013,http://mayberave.bandcamp.com,1,Fool,Maybe Rave - At Peace In Pieces - 01 Fool.flac,2413,Maybe Rave - At Peace In Pieces,Maybe Rave - At Peace In Pieces
From The Boardroom,Melting Faces,2014,http://meltingfaces1.bandcamp.com,1,Wind From the Sun,Melting Faces - From The Boardroom - 01 Wind From the Sun.flac,2416,Melting Faces - From The Boardroom,Melting Faces - From The Boardroom
Oceans Quarters,Michael Morley,2016,http://gatemm.bandcamp.com,1,Oceans,Michael Morley - Oceans Quarters - 01 Oceans.flac,2424,Michael Morley - Oceans Quarters,Michael Morley - Oceans Quarters
AKA Rucks Lebucks,Mike Ruckus,2015,http://mikeruckus.bandcamp.com,1,Welcome,Mike Ruckus - AKA Rucks Lebucks - 01 Welcome.flac,2426,Mike Ruckus - AKA Rucks Lebucks,Mike Ruckus - AKA Rucks Lebucks
Mild America S/T cassette,Mild America,2003,http://mildamerica.bandcamp.com,1,"Side A (Trade/Union/Paper/Back, Mild America, Wellington I)","Mild America - Mild America S-T cassette - 01 Side A (Trade-Union-Paper-Back, Mild America, Wellington I).flac",2433,Mild America - Mild America S-T cassette,Mild America - Mild America S-T cassette
EP 1,MILOUX,2016,http://milouxmiloux.bandcamp.com,1,Pocket,MILOUX - EP 1 - 01 Pocket.flac,2435,MILOUX - EP 1,MILOUX - EP 1
Memorandum,MK Ultra,2015,http://taurangamusicsux.bandcamp.com,1,Smackhead,MK Ultra - Memorandum - 01 Smackhead.flac,2441,MK Ultra - Memorandum,MK Ultra - Memorandum
Gambler / Yours For The Night,Modern Tricks,2015,http://moderntricks.bandcamp.com,1,Gambler,Modern Tricks - Gambler - Yours For The Night - 01 Gambler.flac,2445,Modern Tricks - Gambler - Yours For The Night,Modern Tricks - Gambler - Yours For The Night
Heat - EP,Modern Tricks,2014,http://moderntricks.bandcamp.com,1,Leave Without It,Modern Tricks - Heat - EP - 01 Leave Without It.flac,2447,Modern Tricks - Heat - EP,Modern Tricks - Heat - EP
GRANULATED EP,MONGO SKATO,2013,http://mongoskato.bandcamp.com,1,BOUNY,MONGO SKATO - GRANULATED EP - 01 BOUNY.flac,2451,MONGO SKATO - GRANULATED EP,MONGO SKATO - GRANULATED EP
Malta,Montezuma Revue,2017,http://wwvinegar.bandcamp.com,1,Metric System,Montezuma Revue - Malta - 01 Metric System.flac,2455,Montezuma Revue - Malta,Montezuma Revue - Malta
The Great Lament / Drawn Parallel [Split],Morgus,2014,http://sleepingcorpse.bandcamp.com,1,The Great Lament,Morgus - The Great Lament - Drawn Parallel -Split- - 01 The Great Lament.flac,2462,Morgus - Sleeping Corpse - The Great Lament - Drawn Parallel -Split,Morgus - Sleeping Corpse - The Great Lament - Drawn Parallel -Split
The Organ Harvester,Morgus,2016,http://morgus.bandcamp.com,1,As Always,Morgus - The Organ Harvester - 01 As Always.flac,2471,Morgus - The Organ Harvester,Morgus - The Organ Harvester
Moses II,MOSES,2016,http://mosesnz.bandcamp.com,1,Keep Your Heart Beating,MOSES - Moses II - 01 Keep Your Heart Beating.flac,2488,MOSES - Moses II,MOSES - Moses II
MOSES1,MOSES,2015,http://mosesnz.bandcamp.com,1,Opium,MOSES - MOSES1 - 01 Opium.flac,2493,MOSES - MOSES1,MOSES - MOSES1
Songs For Movies,Motte,2015,http://mottemotte.bandcamp.com,1,Strange Bedfellows,Motte - Songs For Movies - 01 Strange Bedfellows.flac,2496,Motte - Songs For Movies,Motte - Songs For Movies
Ghostmilk,MULCHZOID,2015,http://twistedfruitrecords.bandcamp.com,1,Flowerbomb,MULCHZOID - Ghostmilk - 01 Flowerbomb.flac,2502,MULCHZOID - Ghostmilk,MULCHZOID - Ghostmilk
The Way In Is The Way Out - The Music of Murray McNabb,Space Case,2016,http://sarangbangrecords.bandcamp.com,1,Mr Gone,Space Case - The Way In Is The Way Out - The Music of Murray McNabb - 01 Mr Gone.flac,2533,Murray McNabb - The Way In Is The Way Out - The Music of Murray McNabb,Murray McNabb - The Way In Is The Way Out - The Music of Murray McNabb
Periscope Straws,music sucks,2015,http://musicsucks.bandcamp.com,1,Why at this time,music sucks - Periscope Straws - 01 Why at this time.flac,2535,music sucks - Periscope Straws,music sucks - Periscope Straws
Hearing Aid,Mutton Jeff,2015,http://muttonjeff.bandcamp.com,1,Chelsea Manor #1,Mutton Jeff - Hearing Aid - 01 Chelsea Manor #1.flac,2550,Mutton Jeff - Hearing Aid,Mutton Jeff - Hearing Aid
EP,My Halo,2014,http://myhalo.bandcamp.com,1,Intro (At The Fountain),My Halo - EP - 01 Intro (At The Fountain).flac,2561,My Halo - EP,My Halo - EP
Lonely Room,My Halo,2015,http://myhalo.bandcamp.com,1,Islands of Love (Without Her),My Halo - Lonely Room - 01 Islands of Love (Without Her).flac,2566,My Halo - Lonely Room,My Halo - Lonely Room
